snail_id,date_collected,temp,caffeine_concentration,caffeine_mass_units,exposure_type,rep,mesocosm,date_dry_mass,dry_mass_g,date_poop_ash_free_dry_mass,poop_ash_free_dry_mass_g
43,20190715,17.5,10000,ng,chronic,M,p,,,,
44,20190715,17.5,10000,ng,chronic,N,p,,,,
45,20190715,17.5,10000,ng,chronic,O,p,,,,
46,20190715,17.5,1000000,ng,chronic,A,p_g,,,,
47,20190715,17.5,1000000,ng,chronic,B,p_g,,,,
48,20190715,17.5,1000000,ng,chronic,C,p_g,,,,
49,20190715,17.5,1000000,ng,chronic,D,p_g,,,,
50,20190715,17.5,1000000,ng,chronic,E,p_g,,,,
51,20190715,17.5,1000000,ng,chronic,F,p_g,,,,
52,20190715,17.5,1000000,ng,chronic,G,p_g,,,,
53,20190715,17.5,1000000,ng,chronic,H,p_g,,,,
54,20190715,17.5,1000000,ng,chronic,I,p_g,,,,
55,20190715,17.5,1000000,ng,chronic,J,p_g,,,,
56,20190715,17.5,1000000,ng,chronic,K,p_g,,,,
57,20190715,17.5,1000000,ng,chronic,L,p_g,,,,
58,20190715,17.5,1000000,ng,chronic,M,p,,,,
59,20190715,17.5,1000000,ng,chronic,N,p,,,,
60,20190715,17.5,1000000,ng,chronic,O,p,,,,
61,20190715,12.5,0,ng,chronic,A,p_g,,,,
62,20190715,12.5,0,ng,chronic,B,p_g,,,,
63,20190715,12.5,0,ng,chronic,C,p_g,,,,
64,20190715,12.5,0,ng,chronic,D,p_g,,,,
65,20190715,12.5,0,ng,chronic,E,p_g,,,,
66,20190715,12.5,0,ng,chronic,F,p_g,,,,
67,20190715,12.5,0,ng,chronic,G,p_g,,,,
68,20190715,12.5,0,ng,chronic,H,p_g,,,,
69,20190715,12.5,0,ng,chronic,I,p_g,,,,
70,20190715,12.5,0,ng,chronic,J,p_g,,,,
71,20190715,12.5,0,ng,chronic,K,p_g,,,,
72,20190715,12.5,0,ng,chronic,L,p_g,,,,
